Dataset,n_estimators,max_depth,MAPE,RMSE,MAE,R2,Time(s)
Belgium,14,7,1.4634000767261208,183.88705101110816,137.35796652900495,0.9812635416192811,2.525536060333252
Belgium,14,8,1.4876477230142908,185.6975697711284,139.90501662744907,0.980892773719656,4.138684511184692
Belgium,15,3,1.6242509750420027,201.75275710152107,153.1541301578107,0.9774459695044253,0.3899195194244385
Belgium,15,4,1.558350799268644,194.06553394875172,146.90747090196407,0.9791319422675955,0.5678842067718506
Belgium,15,5,1.5153360560581448,189.4916407181128,142.7343216886165,0.9801040207727032,0.9822876453399658
Belgium,15,6,1.5316299503577875,191.61069599780927,143.94840784671533,0.9796565454350197,1.278968334197998
Belgium,15,7,1.4636144355430705,184.01982964396515,137.4063041067398,0.9812364739220901,2.707942485809326
Belgium,15,8,1.4938896124880692,186.4052570542107,140.34933468443862,0.9807468622044451,4.433644771575928
Belgium,16,3,1.6217754184413762,201.56198900000635,152.94713900577457,0.9774886014414139,0.3981940746307373
Belgium,16,4,1.5576188006469573,193.93080229660808,146.83579560393056,0.97916090786343,0.607154130935669
Belgium,16,5,1.5140736254753877,189.35766723340186,142.61121862844553,0.9801321443497878,1.0372226238250732
